,Name,OnTerritoryOfMoscow,AdmArea,District,Longitude_WGS84,Latitude_WGS84,VestibuleType,NameOfStation,Line,CulturalHeritageSiteStatus,ModeOnEvenDays,ModeOnOddDays,FullFeaturedBPAAmount,LittleFunctionalBPAAmount,BPAAmount,RepairOfEscalators,ObjectStatus,global_id,geoData,x,y
0,"Китай-город, вход-выход 5 в северный вестибюль",да,Центральный административный округ,Басманный район,37.6316766,55.7573154,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:24","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:24",,4,4,[],действует,1773539,"{'coordinates': [37.6316766, 55.7573154], 'type': 'Point'}",37.6316766,55.7573154
1,"Китай-город, вход-выход 4 в северный вестибюль",да,Центральный административный округ,Тверской район,37.631205,55.756855,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:16","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:16",,4,4,[],действует,1773540,"{'coordinates': [37.631205, 55.756855], 'type': 'Point'}",37.631205,55.756855
2,"Китай-город, вход-выход 6 в северный вестибюль",да,Центральный административный округ,Басманный район,37.6319506,55.7572362,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:22","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:22",,4,4,[],действует,1773541,"{'coordinates': [37.6319506, 55.7572362], 'type': 'Point'}",37.6319506,55.7572362
3,"Китай-город, вход-выход 14 в южный вестибюль",да,Центральный административный округ,Тверской район,37.633082,55.753098,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:21","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:21",,4,4,[],действует,1773542,"{'coordinates': [37.633082, 55.753098], 'type': 'Point'}",37.633082,55.753098
4,"Китай-город, вход-выход 12 в южный вестибюль",да,Центральный административный округ,Таганский район,37.633559,55.753072,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:19","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:19",,4,4,[],действует,1773543,"{'coordinates': [37.633559, 55.753072], 'type': 'Point'}",37.633559,55.753072
5,"Китай-город, вход-выход 10 из южного вестибюля",да,Центральный административный округ,Тверской район,37.6341765,55.7541345,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:11","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:11",,4,4,[],действует,1773544,"{'coordinates': [37.6341765, 55.7541345], 'type': 'Point'}",37.6341765,55.7541345
6,"Китай-город, вход-выход 9 в южный вестибюль",да,Центральный административный округ,Басманный район,37.634966,55.754114,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:13","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:13",,4,4,[],действует,1773545,"{'coordinates': [37.634966, 55.754114], 'type': 'Point'}",37.634966,55.754114
7,"Китай-город, вход-выход 2 в северный вестибюль",да,Центральный административный округ,Тверской район,37.629468,55.756640,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:12","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:12",,4,4,[],действует,1773546,"{'coordinates': [37.629468, 55.75664], 'type': 'Point'}",37.629468,55.75664
8,"Калужская, вход-выход 5 в южный вестибюль",да,Юго-Западный административный округ,район Коньково,37.5392381,55.6553856,подземный,Калужская,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:44","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:44",2,3,5,[],действует,1773547,"{'coordinates': [37.5392381, 55.6553856], 'type': 'Point'}",37.5392381,55.6553856
9,"Братиславская, вход-выход 5 в северный вестибюль",да,Юго-Восточный административный округ,район Марьино,37.7526435,55.660114,подземный,Братиславская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00",,2,2,[],действует,1773548,"{'coordinates': [37.7526435, 55.660114], 'type': 'Point'}",37.7526435,55.660114
