,Name,ObjectType,AdmArea,District,Address,UNOM,ClarificationOfLocation,Specialization,PeriodOfPlacement,FacilityArea,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ContractBasis,ObjectPhoto,StartDateTrading,geoData,global_id,x,y
0,"НТО ул. Авиационная, вл.68",киоск,Северо-Западный административный округ,район Щукино,"город Москва, Авиационная улица, дом 68",127,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,аннулирован,НТО-09-02-002652,Компания ФРЕГАТ,01.11.2016,01.11.2021,Результат аукциона (победитель),,,"{'coordinates': [37.4562557224584, 55.8097215134657], 'type': 'Point'}",861530114,37.4562557224584,55.8097215134657
1,"НТО Абрамцевская ул., вл.1",киоск,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 1",27,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007075,АРЕАЛ,22.09.2020,22.09.2025,Результат аукциона (победитель),,20.10.2020,"{'coordinates': [37.5734227039377, 55.8934729310499], 'type': 'Point'}",861538110,37.5734227039377,55.8934729310499
2,"НТО ул. Абрамцевская, вл. 9, к. 1",киоск,Северо-Восточный административный округ,район Лианозово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лианозово, Абрамцевская улица, дом 9, корпус 1",38,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-007426,У Метро,25.12.2020,25.12.2025,Результат аукциона (победитель),,28.12.2020,"{'coordinates': [37.5737538639508, 55.9045160525638], 'type': 'Point'}",861538112,37.5737538639508,55.9045160525638
3,"НТО Абрамцевская ул., вл.14",киоск,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 14",43,,печать,с 1 января по 31 декабря,6,договор на осуществление торговой деятельности,действует,НТО-09-02-008696,АРЕАЛ,11.04.2022,11.04.2027,Результат аукциона (победитель),,29.04.2022,"{'coordinates': [37.5741204640462, 55.9013866894025], 'type': 'Point'}",861538113,37.5741204640462,55.9013866894025
4,НТО у входа в сквер им. Калинина с ул. Авиамоторная,киоск,Юго-Восточный административный округ,район Лефортово,"город Москва, Авиамоторная улица, дом 14",95,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004700,Агентство Печати 41,21.12.2017,21.12.2022,Результат аукциона (победитель),,,"{'coordinates': [37.716752, 55.752735], 'type': 'Point'}",861538114,37.716752,55.752735
5,НТО Авиамоторная ул. 20дробь17,киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 20/17",98,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004163,Антарес,24.08.2017,24.08.2022,Результат аукциона (победитель),,,"{'coordinates': [37.7179582574765, 55.7496082089676], 'type': 'Point'}",861538117,37.7179582574765,55.7496082089676
6,"НТО Авиамоторная ул., вл. 28дробь6",киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 28/6",104,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008341,ГКС,08.11.2021,08.11.2026,Результат аукциона (победитель),,12.11.2021,"{'coordinates': [37.7197867974984, 55.7468336766143], 'type': 'Point'}",861538120,37.7197867974984,55.7468336766143
7,НТО Авиамоторная ул. 47,киоск,Юго-Восточный административный округ,район Лефортово,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Авиамоторная улица, дом 47",111,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008534,МАКС ТНП,14.12.2021,14.12.2026,Результат аукциона (победитель),,01.01.2022,"{'coordinates': [37.7180507167381, 55.7505882783662], 'type': 'Point'}",861538123,37.7180507167381,55.7505882783662
8,"НТО Авиаторов ул., вл.14",киоск,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 14",154,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-008144,У Метро,13.09.2021,13.09.2026,Результат аукциона (победитель),,13.09.2021,"{'coordinates': [37.3980568792557, 55.6449613680435], 'type': 'Point'}",861538125,37.3980568792557,55.6449613680435
9,"НТО Авиаторов ул., вл. 18",киоск,Западный административный округ,район Солнцево,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 18",156,,печать,с 1 января по 31 декабря,9,договор на осуществление торговой деятельности,действует,НТО-09-02-004249,КАП,14.09.2017,14.09.2022,Результат аукциона (победитель),,01.12.2017,"{'coordinates': [37.4001965532842, 55.6443379070265], 'type': 'Point'}",861538126,37.4001965532842,55.6443379070265
