Name,global_id,AdmArea,District,Address,ManagementCompany,LegalAddressOfManagementCompany,MarketType,geoData,lon,lat,x,y
«Бор-1»,634960233,Юго-Западный административный округ,район Ясенево,"город Москва, Новоясеневский проспект, дом 25/20",Бор-1,"117463, Москва г, НОВОЯСЕНЕВСКИЙ пр-кт, строение № СТРОЕНИЕ 1",Специализированный (сельскохозяйственный),"{'coordinates': [37.555417, 55.599169], 'type': 'Point'}",37.555417,55.599169,4180649.8969690497,7479031.86098397
«Автохозяйство Лианозово»,634960515,Северо-Восточный административный округ,район Лианозово,"город Москва, Лианозовский проезд, владение 1",Автохозяйство Лианозово,"127576, Москва г, Илимская ул, дом № 1",Специализированный (сельскохозяйственный),"{'coordinates': [37.554883, 55.897109], 'type': 'Point'}",37.554883,55.897109,4180590.4523609662,7537960.1750720795
«Ленинградский рынок»,634960785,Северный административный округ,район Аэропорт,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Аэропорт, Часовая улица, дом 11",Ленинградский рынок,"125315, Москва г, Часовая ул, дом № 11",Специализированный (сельскохозяйственный),"{'coordinates': [37.529546, 55.808488], 'type': 'Point'}",37.529546,55.808488,4177769.9504227373,7520385.115106101
Управляющая Компания «Лагонда»,634960884,Западный административный округ,район Солнцево,"город Москва, улица Щорса, дом 5, корпус 1",Сигма-ХХI век,"121165, СТУДЕНЧЕСКАЯ ул, дом № 31, корпус 1, квартира дом 31",Специализированный (сельскохозяйственный),"{'coordinates': [37.40742, 55.646096], 'type': 'Point'}",37.40742,55.646096,4164174.9462901177,7488283.562928388
«Рижский рынок»,634961048,Центральный административный округ,Мещанский район,"город Москва, проспект Мира, дом 88, строение 1",Рижский рынок,"129110, город Москва, проспект Мира, дом 88",Специализированный (сельскохозяйственный),"{'coordinates': [37.637058, 55.793346], 'type': 'Point'}",37.637058,55.793346,4189738.1315169036,7517386.201565075
«Коптевский рынок»,634961204,Северный административный округ,район Коптево,"город Москва, Коптевская улица, дом 24, строение 1",Коптевский рынок,"125239, город Москва, Коптевская улица, дом 24",Специализированный (сельскохозяйственный),"{'coordinates': [37.521984, 55.833476], 'type': 'Point'}",37.521984,55.833476,4176928.1524333586,7525336.607291949
«Северный рынок»,634961303,Северо-Восточный административный округ,Лосиноостровский район,"город Москва, улица Лётчика Бабушкина, дом 30, строение 1",СЕВЕРНЫЙ РЫНОК,"129281, МОСКВА г, ЛЁТЧИКА БАБУШКИНА ул, дом № 30СТР1",Специализированный (сельскохозяйственный),"{'coordinates': [37.676861, 55.870152], 'type': 'Point'}",37.676861,55.870152,4194168.9812089484,7532609.897881119
«Свеал»,634961484,Троицкий административный округ,поселение Новофедоровское,"город Москва, поселение Новофедоровское, деревня Яковлевское, дом 1",СВЕАЛ,"143396, МОСКВА г, ВЕРХОВЬЕ (ПЕРВОМАЙСКОЕ) ДЕРЕВНЯ, дом № 50",Универсальный,"{'coordinates': [36.941086, 55.46347], 'type': 'Point'}",36.941086,55.46347,4112262.882870527,7452340.791131862
«Крона-Маркет»,634961621,Восточный административный округ,район Новокосино,"город Москва, Суздальская улица, дом 25А, строение 1",Крона-Маркет,"111141, Москва г, Кусковская ул, дом № 31А",Универсальный,"{'coordinates': [37.878632, 55.747698], 'type': 'Point'}",37.878632,55.747698,4216630.0261857975,7508352.542730766
«Преображенский рынок»,634961733,Восточный административный округ,район Преображенское,"город Москва, улица Преображенский Вал, дом 17, строение 1",ГУП «М.Прогресс»,"107061, Москва г, Преображенский Вал ул, дом № 17",Специализированный (сельскохозяйственный),"{'coordinates': [37.718787, 55.793149], 'type': 'Point'}",37.718787,55.793149,4198836.162179947,7517347.192872839
«Барс-2»,634962123,Юго-Восточный административный округ,район Марьино,"город Москва, Новочеркасский бульвар, владение 5А, строение 1",Барс-2,"140011, Московская область, Люберецкий район, город Люберцы, Шоссейная улица, дом 2",Специализированный (сельскохозяйственный),"{'coordinates': [37.719471, 55.646725], 'type': 'Point'}",37.719471,55.646725,4198912.304711649,7488407.646129572
«Люблинский рынок»,634962356,Юго-Восточный административный округ,район Текстильщики,"город Москва, Люблинская улица, дом 10, строение 1",ЛЮБЛИНСКИЙ РЫНОК,"Москва г, Люблинская ул, дом № 10-12",Специализированный (сельскохозяйственный),"{'coordinates': [37.731897, 55.700639], 'type': 'Point'}",37.731897,55.700639,4200295.560704246,7499050.707374804
«Даниловский рынок»,634962619,Южный административный округ,Даниловский район,"город Москва, Мытная улица, дом 74",Даниловский рынок,"115191, город Москва, Мытная улица, дом 74",Специализированный (сельскохозяйственный),"{'coordinates': [37.620375, 55.712142], 'type': 'Point'}",37.620375,55.712142,4187880.988451999,7501323.392954399
«Рыночный комплекс «Царицынский»,634962886,Южный административный округ,район Царицыно,"город Москва, Каспийская улица, дом 36",РЫНОЧНЫЙ КОМПЛЕКС ЦАРИЦЫНСКИЙ,"115516, город Москва, Каспийская улица, дом 36",Специализированный (сельскохозяйственный),"{'coordinates': [37.667025, 55.618861], 'type': 'Point'}",37.667025,55.618861,4193074.0426975056,7482912.8085891
«Калужская сельскохозяйственная ярмарка»,634962939,Юго-Западный административный округ,район Ясенево,"город Москва, Профсоюзная улица, строение Б/Н",Калужская сельскохозяйственная ярмарка,"117588, Москва г, Новоясеневский пр-кт, дом № 1",Специализированный (сельскохозяйственный),"{'coordinates': [37.508853, 55.618151], 'type': 'Point'}",37.508853,55.618151,4175466.4161997517,7482772.846179538
«Стройтехинвест»,634963249,Юго-Западный административный округ,район Тёплый Стан,"город Москва, улица Тёплый Стан, владение 1Б, строение 1",СТРОЙТЕХиНВЕСТ,"Москва г, Теплый Стан ул, дом № 1Б,  3",Специализированный (сельскохозяйственный),"{'coordinates': [37.50132, 55.618773], 'type': 'Point'}",37.50132,55.618773,4174627.846475606,7482895.460997905
«Торговая компания - КАРЕН»,634963314,Юго-Западный административный округ,район Ясенево,"город Москва, Новоясеневский проспект, дом 1Б, корпус 2",ТОРГОВАЯ КОМПАНИЯ-КАРЕН,"117292, Москва г, ПРОФСОЮЗНАЯ ул, дом № ДОМ 4, корпус КОРПУС 4",Специализированный (сельскохозяйственный),"{'coordinates': [37.509531, 55.618209], 'type': 'Point'}",37.509531,55.618209,4175541.89081451,7482784.279633414
«Черемушкинский торг»,634963478,Юго-Западный административный округ,Гагаринский район,"город Москва, улица Вавилова, дом 64/1, строение 1",Руслан,"142191, Москва г, Троицк г, Городская ул, дом № 6",Специализированный (сельскохозяйственный),"{'coordinates': [37.550567, 55.683919], 'type': 'Point'}",37.550567,55.683919,4180109.9974387023,7495748.474356712
«Данвита»,634963692,Западный административный округ,район Дорогомилово,"город Москва, улица Можайский Вал, дом 10",ДАНВИТА,"121151, Москва г, Можайский Вал ул, дом № 10, комната 6",Специализированный (сельскохозяйственный),"{'coordinates': [37.554205, 55.742823], 'type': 'Point'}",37.554205,55.742823,4180514.9777462087,7507388.4136499325
«Кунцевский рынок»,634963783,Западный административный округ,Можайский район,"город Москва, улица Маршала Неделина, дом 19",Кунцевский рынок,"121354, город Москва, улица Маршала Неделина, дом 19",Специализированный (сельскохозяйственный),"{'coordinates': [37.406954, 55.725998], 'type': 'Point'}",37.406954,55.725998,4164123.071407408,7504061.857172667
МУП «Магазин Центральный»,634963909,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, Октябрьский проспект, дом 16Б",г. Троицка Магазин «Центральный»,"142191, Москва г, Троицк г, Академика Верещагина пл, дом № 1",Универсальный,"{'coordinates': [37.298387, 55.476547], 'type': 'Point'}",37.298387,55.476547,4152037.4482504544,7454908.943156086
«Сампо»,634964048,Новомосковский административный округ,поселение Воскресенское,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 28А",Сампо,"142791, город Москва, поселение Воскресенское,поселок подсобного хозяйства Воскресенское, дом 28",Специализированный (сельскохозяйственный),"{'coordinates': [37.444456, 55.529558], 'type': 'Point'}",37.444456,55.529558,4168297.7749511376,7465328.348398135
ООО «Илион Трейд»,634964186,Северо-Восточный административный округ,Алексеевский район,"город Москва, проспект Мира, владение 98А, строение 1",Фирма «ИЛИОН-ТРЕЙД»,"129110, город Москва, Водопроводный переулок, дом 1",Специализированный (радиорынок),"{'coordinates': [37.637758, 55.79643], 'type': 'Point'}",37.637758,55.79643,4189816.055160458,7517996.901434977
«Оптово-розничный рынок «Садовод»,885653837,Юго-Восточный административный округ,район Капотня,"МКАД, 14-й километр, дом 2, строение 1",РЫНОК САДОВОД,"109429 , МОСКВА ГОРОД, МКАД 14-Й КИЛОМЕТР, дом № ДОМ 4",Универсальный,"{'coordinates': [37.8343, 55.654689], 'type': 'Point'}",37.8343,55.654689,4211695.01051995,7489978.881497158
«Москворецкий рынок»,969666305,Южный административный округ,Нагорный район,"город Москва, Болотниковская улица, дом 12",Москворецкий рынок,"117556, город Москва, Симферопольский бульвар, дом 11/12",Специализированный (сельскохозяйственный),"{'coordinates': [37.606182, 55.656712], 'type': 'Point'}",37.606182,55.656712,4186301.03091917,7490378.054595375
«Вит-Сириус»,1010306150,Зеленоградский административный округ,район Силино,"город Москва, город Зеленоград, улица Панфилова, дом 13, строение 1",ВИТ-СИРИУС,"124575, ЗЕЛЕНОГРАД г, 124575 , МОСКВА ГОРОД, ГОРОД ЗЕЛЕНОГРАД, УЛИЦА ПАНФИЛОВА, ПАНФИЛОВА ул, строение № СТРОЕНИЕ 1",Специализированный (сельскохозяйственный),"{'coordinates': [37.172499, 55.9824528238189], 'type': 'Point'}",37.172499,55.9824528238189,4138023.6601934717,7554923.302335979
