Name,OnTerritoryOfMoscow,AdmArea,District,Longitude_WGS84,Latitude_WGS84,VestibuleType,NameOfStation,Line,CulturalHeritageSiteStatus,ModeOnEvenDays,ModeOnOddDays,FullFeaturedBPAAmount,LittleFunctionalBPAAmount,BPAAmount,RepairOfEscalators,ObjectStatus,global_id,geoData,longitude,latitude,x,y
"Китай-город, вход-выход 5 в северный вестибюль",да,Центральный административный округ,Басманный район,37.6316766,55.7573154,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:24","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:24",,4.0,4.0,[],действует,1773539,"{'coordinates': [37.6316766, 55.7573154], 'type': 'Point'}",37.6316766,55.7573154,4189139.0768091483,7510254.929903725
"Китай-город, вход-выход 4 в северный вестибюль",да,Центральный административный округ,Тверской район,37.631205,55.756855,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:16","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:16",,4.0,4.0,[],действует,1773540,"{'coordinates': [37.631205, 55.756855], 'type': 'Point'}",37.631205,55.756855,4189086.5785372905,7510163.84896009
"Китай-город, вход-выход 6 в северный вестибюль",да,Центральный административный округ,Басманный район,37.6319506,55.7572362,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:22","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:22",,4.0,4.0,[],действует,1773541,"{'coordinates': [37.6319506, 55.7572362], 'type': 'Point'}",37.6319506,55.7572362,4189169.5783496266,7510239.261689152
"Китай-город, вход-выход 14 в южный вестибюль",да,Центральный административный округ,Тверской район,37.633082,55.753098,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:21","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:21",,4.0,4.0,[],действует,1773542,"{'coordinates': [37.633082, 55.753098], 'type': 'Point'}",37.633082,55.753098,4189295.52522151,7509420.641737622
"Китай-город, вход-выход 12 в южный вестибюль",да,Центральный административный округ,Таганский район,37.633559,55.753072,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:19","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:19",,4.0,4.0,[],действует,1773543,"{'coordinates': [37.633559, 55.753072], 'type': 'Point'}",37.633559,55.753072,4189348.624618618,7509415.498684459
"Китай-город, вход-выход 10 из южного вестибюля",да,Центральный административный округ,Тверской район,37.6341765,55.7541345,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:11","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:11",,4.0,4.0,[],действует,1773544,"{'coordinates': [37.6341765, 55.7541345], 'type': 'Point'}",37.6341765,55.7541345,4189417.3644041824,7509625.6743225185
"Китай-город, вход-выход 9 в южный вестибюль",да,Центральный административный округ,Басманный район,37.634966,55.754114,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:13","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:13",,4.0,4.0,[],действует,1773545,"{'coordinates': [37.634966, 55.754114], 'type': 'Point'}",37.634966,55.754114,4189505.2511421638,7509621.6191148665
"Китай-город, вход-выход 2 в северный вестибюль",да,Центральный административный округ,Тверской район,37.629468,55.75664,подземный,Китай-город,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:44:00, по 2 пути в 05:49:05; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:12","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:05, по 2 пути в 05:49:50; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:27:12",,4.0,4.0,[],действует,1773546,"{'coordinates': [37.629468, 55.75664], 'type': 'Point'}",37.629468,55.75664,4188893.216581783,7510121.31587294
"Калужская, вход-выход 5 в южный вестибюль",да,Юго-Западный административный округ,район Коньково,37.5392381,55.6553856,подземный,Калужская,Калужско-Рижская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:44","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:05:55, по 2 пути в 05:54:35; последний поезд по 1 пути в 01:15:55, по 2 пути в 01:47:44",2.0,3.0,5.0,[],действует,1773547,"{'coordinates': [37.5392381, 55.6553856], 'type': 'Point'}",37.5392381,55.6553856,4178848.8700594543,7490116.330468879
"Братиславская, вход-выход 5 в северный вестибюль",да,Юго-Восточный административный округ,район Марьино,37.7526435,55.660114,подземный,Братиславская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00",,2.0,2.0,[],действует,1773548,"{'coordinates': [37.7526435, 55.660114], 'type': 'Point'}",37.7526435,55.660114,4202605.050519989,7491049.374900847
"Братиславская, вход-выход 4 в северный вестибюль",да,Юго-Восточный административный округ,район Марьино,37.7517426,55.6600507,подземный,Братиславская,Люблинско-Дмитровская линия,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:00, по 2 пути в 05:42:00; последний поезд по 1 пути в 01:52:00, по 2 пути в 01:12:00",,2.0,2.0,[],действует,1773549,"{'coordinates': [37.7517426, 55.6600507], 'type': 'Point'}",37.7517426,55.6600507,4202504.762790733,7491036.883311322
"Бульвар адмирала Ушакова, вход-выход 1 в вестибюль",да,Юго-Западный административный округ,район Южное Бутово,37.5416454,55.5450107,наземный отдельностоящий,Бульвар адмирала Ушакова,Бутовская линия Лёгкого метро,не является объектом культурного наследия,"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:10, по 2 пути в 05:48:50; последний поезд по 1 пути в 01:38:55, по 2 пути в 01:24:05","открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:10, по 2 пути в 05:48:50; последний поезд по 1 пути в 01:38:55, по 2 пути в 01:24:05",,2.0,2.0,[],действует,1773550,"{'coordinates': [37.5416454, 55.5450107], 'type': 'Point'}",37.5416454,55.5450107,4179116.849469641,7468368.246680174
