ID точки,Город,Область,Тип Пункта,Название пункта приема/выдачи,Адрес пункта приема/выдачи,Метро,"Макс. габариты 1 места, см","Макс. размер коробки, см","Макс. вес 1 места, кг",Способы оплаты,Время работы,График обслуживания,Услуга по приему возвратов,Широта,Долгота,Временное закрытие точки,x,y
7701-001,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-001: ТЦ Домодедовский,"115583, Ореховый б-р, д. 14, к. 3",метро Домодедовская,62.9x40.5x35.8,XXL,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.609675,37.720106,Нет,4198982.992588303,7481102.166708749
7701-012,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-012: ТЦ Город,"109052, Рязанский пр-кт, д. 2, к. 2",метро Нижегородская,61.8x36.8x36,L,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.729833,37.731021,Нет,4200198.044830311,7504819.968409746
7701-006,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-006: ТЦ Маркос Молл,"127549, Алтуфьевское шоссе, д. 70, к. 1","метро Алтуфьево, Бибирево",61.8x36.8x36,L,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.888202,37.588287,Нет,4184308.968631425,7536191.951600927
7701-010,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-010: ТЦ Подсолнухи Парк,"107370, Открытое шоссе, д. 9, стр. 1",метро Бульвар Рокоссовского,61.8x36.8x36,L,15 кг,Карта,Ежедневно: 10:30-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.815319,37.737845,Нет,4200957.6890354855,7521738.394752695
7701-009,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-009: ТЦ Л-153,"109341, Люблинская ул., д. 153","метро Братиславская, Марьино",61.8x36.8x36,L,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.658959,37.742099,Нет,4201431.24214932,7490821.450971743
7701-014,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-014: ТЦ Панорама,"117335, Гарибальди ул., д. 23",метро Новые Черемушки,63.6x61.8x55.5,XXL,15 кг,Карта,Ежедневно: 10-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.671498,37.553792,Нет,4180469.0027965107,7493296.216193408
7701-015,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-015: ТЦ Праздник,"125362, Тушинская ул., д. 17",метро Тушинская,61.8x36.8x36,L,15 кг,Карта,Ежедневно: 9-21,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.826679,37.445097,Нет,4168369.1307447352,7523989.434208466
5001-877,Дрожжино,Московская обл.,Постамат,Постамат: PickPoint: 5001-877: Парикмахерская,"142720, Южная ул., д. 23, к. 2",,40.5x35.8x62.9,,15 кг,Карта,Ежедневно: 10-20,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.522016,37.593075,Нет,4184841.966353343,7463845.098763119
5002-961,Зеленоград,Московская обл.,ПВЗ,ПВЗ: Ozon: 5002-961,"124365, к. 2008",,180,XXL,31.5 кг,Оплата только на сайте,Ежедневно: 9-21,"Вт, Чт, Сб",Нет,55.973924,37.162818,Нет,4136945.9762031017,7553226.412315758
7701-016,Москва,Московская обл.,Постамат,Постамат: PickPoint: 7701-016: ТЦ Митино,"125430, Митинская ул., д. 40",метро Митино,61.8x37x36.8,L,15 кг,Карта,Ежедневно: 10-22,"Пн, Вт, Ср, Чт, Пт, Сб",Да,55.847832,37.360287,Нет,4158928.124730558,7528182.756752723
