Name,AdmArea,District,Address,FacilityArea,ObjectType,Specialization,PeriodOfPlacement,ContractType,ContractStatus,ContractNumber,NameOfBusinessEntity,ContractBegin,ContractEnd,ObjectPhoto,StartDateTrading,EndDateTrading,geoData,global_id,longitude,latitude,x,y
"Театральные билеты на Малый Чудов пер., вл. 8",Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Большой Чудов переулок, дом 8, строение 1",6.0,киоск,театральные билеты,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-008435,МДТЗК,15.11.2021,15.11.2026,,06.12.2021,06.12.2026,"{'coordinates': [37.5920849999999, 55.73346], 'type': 'Point'}",20274004,37.5920849999999,55.73346,4184731.760057447,7505537.030272913
"Мороженое на Комсомольский просп., вл. 23-25",Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 25, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-004504,МОСХЛАДТОРГ,13.11.2017,13.11.2022,,10.01.2018,10.01.2023,"{'coordinates': [37.582864, 55.726996], 'type': 'Point'}",20274010,37.582864,55.726996,4183705.2830328527,7504259.13684077
"Мороженое на Комсомольский просп., вл. 45",Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Комсомольский проспект, дом 45",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007018,АЙС-КРИМ РИТЕЙЛ,10.08.2020,10.08.2025,,10.10.2020,10.10.2025,"{'coordinates': [37.573840999, 55.720382], 'type': 'Point'}",20274011,37.573840999,55.720382,4182700.847156105,7502951.808282911
"Мороженое на Ул. Остоженка, вл. 2",Центральный административный округ,район Хамовники,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, улица Остоженка, дом 4",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-007017,АЙС-КРИМ РИТЕЙЛ,10.08.2020,10.08.2025,,10.10.2020,10.10.2025,"{'coordinates': [37.6012429999999, 55.743848], 'type': 'Point'}",20274012,37.6012429999999,55.743848,4185751.223954131,7507591.117968697
"Мороженое ул. Новоалексеевская, вл. 5-7",Северо-Восточный административный округ,Алексеевский район,"город Москва, Новоалексеевская улица, дом 5, строение 2",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003752,СТРИТ РИТЕЙЛ,22.08.2016,31.12.2023,,27.04.2017,31.12.2023,"{'coordinates': [37.640956, 55.807812], 'type': 'Point'}",20274027,37.640956,55.807812,4190172.054892016,7520251.206626493
"Мороженое ул. Павла Корчагина, 1",Северо-Восточный административный округ,Алексеевский район,"город Москва, улица Павла Корчагина, дом 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003505,СТРИТ РИТЕЙЛ,14.11.2016,31.12.2023,,31.03.2017,31.12.2023,"{'coordinates': [37.65455, 55.811924], 'type': 'Point'}",20274028,37.65455,55.811924,4191685.332049859,7521065.786466825
"Мороженое на ул. Л. Бабушкина, вл. 31",Северо-Восточный административный округ,Бабушкинский район,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бабушкинский, улица Лётчика Бабушкина, дом 31",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-006033,Роза,28.12.2018,28.12.2023,,28.02.2019,28.02.2024,"{'coordinates': [37.675020999, 55.8700809999999], 'type': 'Point'}",20274029,37.675020999,55.8700809999999,4193964.153234569,7532595.81109604
"Мороженое, ул.Ленская, 26",Северо-Восточный административный округ,Бабушкинский район,"город Москва, Ленская улица, дом 26, корпус 1",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003542,Айс Маркет,14.11.2016,31.12.2023,,06.04.2017,31.12.2023,"{'coordinates': [37.658439, 55.867647], 'type': 'Point'}",20274032,37.658439,55.867647,4192118.2535495535,7532112.907869499
Мороженое на ул. Пришвина. 23,Северо-Восточный административный округ,район Бибирево,"город Москва, улица Пришвина, дом 23",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003466,Айс Маркет,14.10.2016,31.12.2023,,13.03.2017,31.12.2023,"{'coordinates': [37.604574, 55.885456999], 'type': 'Point'}",20274033,37.604574,55.885456999,4186122.029177975,7535647.094012029
"Мороженое на ул.Сущёвский вал, д. 69",Северо-Восточный административный округ,район Марьина Роща,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьина Роща, улица Сущёвский Вал, дом 69",6.0,киоск,мороженое,с 1 января по 31 декабря,договор на осуществление торговой деятельности,действует,НТО-01-02-003324,СТРИТ РИТЕЙЛ,14.11.2016,31.12.2023,,18.02.2017,31.12.2023,"{'coordinates': [37.624320999, 55.793194], 'type': 'Point'}",20274040,37.624320999,55.793194,4188320.25505135,7517356.103470429
