Name,global_id,AdmArea,District,Address,WebSite,Infrastructure,geoData,lon,lat,x,y
Технопарк «Технополис Москва»,37362845,Юго-Восточный административный округ,район Печатники,"Волгоградский проспект, вл. 42",www.technomoscow.ru,"Логистический центр, таможенный пост, политехнический музей, HACKSPACE (центр инжиниринга и промышленного дизайна), детский технопарк, конгресс-холл, парковка, кафе, столовая","{'coordinates': [37.721277126554, 55.710208042931], 'type': 'Point'}",37.721277126554,55.710208042931,4199113.361799949,7500941.247899989
Технопарк «Сколково»,37362874,Западный административный округ,Можайский район,"Территория Инновационного Центра  «Сколково», ул. Нобеля, 5, к.2",sk.ru/technopark,,"{'coordinates': [37.333909476984, 55.687935590788], 'type': 'Point'}",37.333909476984,55.687935590788,4155991.792300029,7496541.6300999895
Технопарк «Строгино»,37362904,Северо-Западный административный округ,район Строгино,"город Москва, улица Твардовского, дом 8, строение 1",www.tpstrogino.ru,"Центр прототипирования, бизнес-инкубатор, центр услуг для бизнеса, деловой центр, ЦМИТ, коворкинг, паркинг","{'coordinates': [37.392298057938, 55.793715234128], 'type': 'Point'}",37.392298057938,55.793715234128,4162491.5793999704,7517459.3154999055
Технопарк «Слава»,37362929,Юго-Западный административный округ,район Черёмушки,"город Москва, Научный проезд, дом 20, строение 2",www.technopark-slava.ru,"Деловой центр, технологический центр коллективного пользования (по направлению Нанотехнологии и наноматериалы), ЦМИТ, чистые комнаты, паркинг","{'coordinates': [37.552505779631, 55.653755973069], 'type': 'Point'}",37.552505779631,55.653755973069,4180325.8213999853,7489794.78600007
Технопарк «Мосгормаш»,37363711,Южный административный округ,район Нагатино-Садовники,"город Москва, Каширский проезд, дом 13",www.tpmgm.ru,"Центр коллективного пользования, ЦМИТ, деловой центр","{'coordinates': [37.631409405918, 55.656819954113], 'type': 'Point'}",37.631409405918,55.656819954113,4189109.332899997,7490399.356399907
Технопарк «Сапфир»,37363002,Восточный административный округ,район Соколиная Гора,"город Москва, Щербаковская улица, дом 53",www.tpsapfir.ru,"Центр прототипирования, деловой центр, спорт зал, паркинг","{'coordinates': [37.738065030332, 55.783938003865], 'type': 'Point'}",37.738065030332,55.783938003865,4200982.182700003,7515523.510000074
Технопарк «Технопарк ВТИ»,37363027,Южный административный округ,Даниловский район,"Автозаводская улица,дом 14",www.vti.ru,IT и энергетические технологии,"{'coordinates': [37.64755495408, 55.70402832979], 'type': 'Point'}",37.64755495408,55.70402832979,4190906.647099969,7499720.278900036
Технопарк «Темп»,37363051,Южный административный округ,район Царицыно,"город Москва, Кавказский бульвар, дом 59",www.temp-technopark.ru,"Чистые комнаты, конгресс-холл, парковка","{'coordinates': [37.629834929618, 55.628296888052], 'type': 'Point'}",37.629834929618,55.628296888052,4188934.063000015,7484773.147400088
Технопарк «ТехноСпарк»,37363530,Троицкий административный округ,поселение Троицк,"Промышленная улица, дом 2а",www.technospark.ru,"Центр прототипирования, чистые комнаты, ЦМИТ, паркинг, деловой центр","{'coordinates': [37.273037473782, 55.455159116225], 'type': 'Point'}",37.273037473782,55.455159116225,4149215.5519000157,7450709.0847
Технопарк «Пульсар»,37363099,Восточный административный округ,район Соколиная Гора,"город Москва, Окружной проезд, дом 27",www.gz-pulsar.ru,"Конструкторское бюро, центр прототипирования, научно-исследовательский центр инновационных технологий, учебный класс, центр услуг для бизнеса, коворкинг, столовая, деловой центр, логистический центр, паркинг","{'coordinates': [37.742438651668, 55.775972145119], 'type': 'Point'}",37.742438651668,55.775972145119,4201469.052000049,7513946.6992000295
Технопарк «Центр хайтек инноваций «РИКОР»,37363551,Центральный административный округ,Таганский район,"Костомаровский переулок, владение 3",rikor.com,"Конференц-зал; деловой центр, паркинг","{'coordinates': [37.665078924825, 55.752093524019], 'type': 'Point'}",37.665078924825,55.752093524019,4192857.4065999794,7509221.949100009
Технопарк «ЭЛМА»,37363184,Зеленоградский административный округ,район Старое Крюково,"г. Зеленоград, проезд 4922 (Озерная аллея), дом 4, стр. 5",www.elmagroup.ru,"Центр услуг для бизнеса, паркинг, спортзал","{'coordinates': [37.219734022987, 55.983715030194], 'type': 'Point'}",37.219734022987,55.983715030194,4143281.8388999924,7555174.461999961
Технопарк «НАГАТИНО»,37363209,Южный административный округ,Нагорный район,"город Москва, Варшавское шоссе, дом 28А",www.technopark-nagatino.ru,"Деловой центр, коворкинг, паркинг","{'coordinates': [37.617956768924, 55.682723868015], 'type': 'Point'}",37.617956768924,55.682723868015,4187611.7921999986,7495512.487499957
Технопарк «Фотоника»,37363591,Восточный административный округ,район Гольяново,"город Москва, Щёлковское шоссе, дом 77",www.cyclone-jsc.ru,"Центр сертификации, чистые комнаты","{'coordinates': [37.804299243653, 55.811091396221], 'type': 'Point'}",37.804299243653,55.811091396221,4208355.341599989,7520900.842200089
Технопарк «Отрадное»,37363612,Северо-Восточный административный округ,район Отрадное,"город Москва, Отрадная улица, дом 2Б",www.itradnoe.com,Паркинг,"{'coordinates': [37.598977291162, 55.856377195939], 'type': 'Point'}",37.598977291162,55.856377195939,4185499.0064000105,7529877.384100018
